Wavelength (nm),SLS201L Power (a.u.)
350,0.007185248
351,0.006136522
352,0.006714888
353,0.006957889
354,0.00710967
355,0.006613918
356,0.007395872
357,0.007347775
358,0.007334192
359,0.007091941
360,0.006502006
361,0.008142993
362,0.007515264
363,0.006630921
364,0.007912869
365,0.008552697
366,0.008283766
367,0.008271222
368,0.008688231
369,0.008281525
370,0.008396103
371,0.009870863
372,0.009102076
373,0.00957077
374,0.010615491
375,0.010856352
376,0.011605264
377,0.012060881
378,0.011980271
379,0.01284087
380,0.012706613
381,0.014022739
382,0.014713811
383,0.015043662
384,0.015753374
385,0.016475783
386,0.017147688
387,0.017430827
388,0.017571311
389,0.018357315
390,0.019336767
391,0.019633653
392,0.019737163
393,0.019944594
394,0.020581878
395,0.021564338
396,0.021955189
397,0.022444104
398,0.022671815
399,0.022667437
400,0.022681874
401,0.023735632
402,0.024846396
403,0.025115101
404,0.026282018
405,0.026485213
406,0.02779398
407,0.028221855
408,0.028946381
409,0.029433505
410,0.030616687
411,0.031407242
412,0.032210279
413,0.033167424
414,0.033387673
415,0.034737396
416,0.035091442
417,0.036158411
418,0.037126363
419,0.037458369
420,0.038683993
421,0.039782607
422,0.040101802
423,0.041286556
424,0.042248437
425,0.043484013
426,0.044238015
427,0.045246178
428,0.046154026
429,0.047151366
430,0.048559845
431,0.048632902
432,0.050296734
433,0.051145513
434,0.052282578
435,0.053384235
436,0.05401612
437,0.055187708
438,0.05654005
439,0.056696553
440,0.057841517
441,0.058541369
442,0.059815223
443,0.060663706
444,0.062002682
445,0.062732167
446,0.063457337
447,0.064317596
448,0.065253186
449,0.06634174
450,0.067808311
451,0.068847211
452,0.070166156
453,0.07134577
454,0.072110102
455,0.073932235
456,0.074153587
457,0.076186823
458,0.076551785
459,0.078517414
460,0.079229805
461,0.081121537
462,0.081732178
463,0.083126559
464,0.084437154
465,0.085734138
466,0.086593436
467,0.08875323
468,0.088660836
469,0.091039909
470,0.09163175
471,0.093505033
472,0.094629094
473,0.096113177
474,0.096444645
475,0.09837209
476,0.099427563
477,0.100754328
478,0.101783638
479,0.102980224
480,0.103891399
481,0.105074362
482,0.106390888
483,0.107231377
484,0.108617053
485,0.109559028
486,0.110656463
487,0.111485522
488,0.112820688
489,0.113811814
490,0.114982639
491,0.116146956
492,0.117386831
493,0.118535845
494,0.119991896
495,0.120934952
496,0.122279449
497,0.123492952
498,0.124667359
499,0.125970476
500,0.1275886
501,0.129036839
502,0.130498187
503,0.131749112
504,0.133634427
505,0.135253521
506,0.13652003
507,0.138263492
508,0.139749204
509,0.141524929
510,0.142961037
511,0.144721185
512,0.146401531
513,0.148305911
514,0.150098929
515,0.151555992
516,0.153295258
517,0.155296546
518,0.157270354
519,0.158996525
520,0.160653312
521,0.162767055
522,0.163990653
523,0.165965851
524,0.167907166
525,0.169486018
526,0.171199091
527,0.173288138
528,0.175296164
529,0.176642166
530,0.178461221
531,0.180604004
532,0.182392103
533,0.184308553
534,0.186302234
535,0.188420581
536,0.190048044
537,0.192128943
538,0.194027795
539,0.196217371
540,0.197958807
541,0.200196397
542,0.201982795
543,0.203950745
544,0.206106176
545,0.207999421
546,0.210557108
547,0.212281417
548,0.214414793
549,0.216719938
550,0.218427248
551,0.220821054
552,0.222527105
553,0.225093471
554,0.22684105
555,0.229016858
556,0.231225603
557,0.233493097
558,0.235007944
559,0.237721773
560,0.239425442
561,0.241634377
562,0.244327554
563,0.24675076
564,0.248213014
565,0.250462579
566,0.252350056
567,0.254922724
568,0.256838948
569,0.259491981
570,0.261818167
571,0.263491618
572,0.265627229
573,0.267449175
574,0.270487093
575,0.271730727
576,0.27445011
577,0.276614329
578,0.278478832
579,0.280445628
580,0.282785753
581,0.285198904
582,0.286813706
583,0.289195956
584,0.290581675
585,0.293343744
586,0.295465261
587,0.297539449
588,0.299731336
589,0.302330713
590,0.304674982
591,0.307179188
592,0.308796987
593,0.311740473
594,0.314238223
595,0.316285352
596,0.318906999
597,0.320334848
598,0.323507161
599,0.325829739
600,0.327550525
601,0.329813479
602,0.332006725
603,0.334509091
604,0.336578264
605,0.339274034
606,0.3408171
607,0.343061163
608,0.345686353
609,0.347918815
610,0.350015431
611,0.352491404
612,0.354816604
613,0.356885864
614,0.359255544
615,0.361294962
616,0.364996613
617,0.365807896
618,0.368822974
619,0.37099463
620,0.373334678
621,0.375486232
622,0.377481055
623,0.380537826
